prices,address,no_beds,baths,sqft
17000000.0," 1500 N Lake Shore Dr, Chicago, IL 60610 ",6.0,7.0,8000.0
30500.0," 13150 S Eberhart Ave, Riverdale, IL 60827 ",2.0,2.0,753.0
7995000.0," 4130 N Greenview Ave, Chicago, IL 60613 ",7.0,8.0,1100.0
240000.0," 9006 S Throop St, Chicago, IL 60620 ",5.0,2.0,1200.0
335000.0," 645 N Kingsbury St APT 1104, Chicago, IL 60654 ",2.0,2.0,
18750000.0," 3 W Burton Pl, Chicago, IL 60610 ",6.0,1.0,3200.0
379900.0," 5052 N Rutherford Ave, Chicago, IL 60656 ",2.0,2.0,1163.0
479000.0," 2156 N Damen Ave APT 3, Chicago, IL 60647 ",3.0,3.0,1700.0
215000.0," 5415 N Sheridan Rd APT 2111, Chicago, IL 60640 ",2.0,2.0,1250.0
199800.0," 1801 W Touhy Ave UNIT H, Chicago, IL 60626 ",2.0,2.0,1800.0
325000.0," 161 W Harrison St UNIT 607, Chicago, IL 60605 ",2.0,2.0,1360.0
20000.0," 4850 S Lake Park Ave #507-B, Chicago, IL 60615 ",2.0,1.0,1100.0
180000.0," 2921 S Michigan Ave APT 506, Chicago, IL 60616 ",3.0,3.0,1909.0
615000.0," 3811 S Hermitage Ave, Chicago, IL 60609 ",4.0,5.0,4100.0
309900.0," 4633 W Erie St, Chicago, IL 60644 ",5.0,3.0,1912.0
339900.0," 6055 W Barry Ave, Chicago, IL 60634 ",3.0,3.0,1900.0
1499000.0," 4841 N Oakley Ave, Chicago, IL 60625 ",4.0,5.0,4000.0
669000.0," 3424 W Wrightwood Ave, Chicago, IL 60647 ",6.0,2.0,2200.0
495000.0," 1242 N Lake Shore Dr #6N, Chicago, IL 60610 ",2.0,3.0,1855.0
10000.0," 7359 S Emerald Ave, Chicago, IL 60621 ",7.0,4.0,
260000.0," 5120 S Springfield Ave, Chicago, IL 60632 ",4.0,3.0,3780.0
200000.0," 5013 S King Dr UNIT 4, Chicago, IL 60615 ",2.0,2.0,1250.0
250000.0," 1107 W Lawrence Ave APT 201, Chicago, IL 60640 ",2.0,2.0,1350.0
169000.0," 2529 S Troy St, Chicago, IL 60623 ",2.0,2.0,724.0
264900.0," 5130 S Sayre Ave, Chicago, IL 60638 ",3.0,2.0,1023.0
285000.0," 471 N Armour St, Chicago, IL 60642 ",3.0,3.0,2100.0
360000.0," 4616 N Kenmore Ave APT 305, Chicago, IL 60640 ",2.0,2.0,1342.0
159900.0," 8242 S Honore St, Chicago, IL 60620 ",4.0,3.0,3400.0
219000.0," 6804 S Wabash Ave, Chicago, IL 60637 ",4.0,4.0,1900.0
395000.0," 200 N Dearborn St UNIT 4106, Chicago, IL 60601 ",2.0,2.0,1205.0
