,prices,address,no_beds,baths,sqft,prediction,difference,deal
40,320000.0," 3849 W 81st Pl, Chicago, IL 60652 ",6.0,7.0,8.0,5775887.5,-5455887.5,good deal
229,229000.0," 1616 S Kedvale Ave, Chicago, IL 60623 ",6.0,5.0,3.7,3742092.5,-3513092.5,good deal
190,230000.0," 8 W Monroe St APT 1100, Chicago, IL 60603 ",6.0,5.0,3.7,3742092.5,-3512092.5,good deal
389,250000.0," 7730 N Eastlake Ter APT 1, Chicago, IL 60626 ",6.0,5.0,3.7,3742092.5,-3492092.5,good deal
150,320000.0," 3133 W Palmer Blvd APT 3, Chicago, IL 60647 ",6.0,5.0,3.7,3742092.5,-3422092.5,good deal
309,484900.0," 606 W 48th Pl, Chicago, IL 60609 ",6.0,5.0,3.7,3742092.5,-3257192.5,good deal
349,650000.0," 4912 S Michigan Ave, Chicago, IL 60615 ",6.0,5.0,3.7,3742092.5,-3092092.5,good deal
53,184000.0," 3201 W Leland Ave APT 207, Chicago, IL 60625 ",4.0,5.0,4.1,3199798.0,-3015798.0,good deal
56,300000.0," 6704 W 63rd Pl, Chicago, IL 60638 ",4.0,5.0,4.0,3172678.0,-2872678.0,good deal
269,879000.0," 2828 W Lyndale St, Chicago, IL 60647 ",6.0,5.0,3.7,3742092.5,-2863092.5,good deal
77,75000.0," 8134 S Essex Ave APT 2-S, Chicago, IL 60617 ",4.0,4.0,4.5,2874464.0,-2799464.0,good deal
110,950000.0," 4730 S Greenwood Ave, Chicago, IL 60615 ",6.0,5.0,3.7,3742092.5,-2792092.5,good deal
13,615000.0," 3811 S Hermitage Ave, Chicago, IL 60609 ",4.0,5.0,4.1,3199798.0,-2584798.0,good deal
519,399000.0," 4950 S Chicago Beach Dr UNIT 3A, Chicago, IL 60615 ",4.0,4.0,4.0,2738863.5,-2339863.5,good deal
482,787000.0," 4733 N Winthrop Ave, Chicago, IL 60640 ",5.0,4.0,3.7,2982890.5,-2195890.5,good deal
511,909000.0," 2046 N Bingham St, Chicago, IL 60647 ",4.0,5.0,3.5,3037077.0,-2128077.0,good deal
37,750000.0," 4200 S Ellis Ave, Chicago, IL 60653 ",4.0,4.0,4.5,2874464.0,-2124464.0,good deal
525,660000.0," 1717 N Kimball Ave, Chicago, IL 60647 ",4.0,4.0,3.868,2703065.0,-2043065.0,good deal
164,140000.0," 6166 N Sheridan Rd APT 4E, Chicago, IL 60660 ",4.0,3.0,3.445,2154531.5,-2014531.5,good deal
60,259000.0," 1019 W Ainslie St #3, Chicago, IL 60640 ",4.0,3.0,3.78,2245384.0,-1986384.0,good deal
20,260000.0," 5120 S Springfield Ave, Chicago, IL 60632 ",4.0,3.0,3.78,2245384.0,-1985384.0,good deal
27,159900.0," 8242 S Honore St, Chicago, IL 60620 ",4.0,3.0,3.4,2142327.5,-1982427.5,good deal
451,950000.0," 4122 N Kenneth Ave, Chicago, IL 60641 ",5.0,4.0,3.41,2904242.0,-1954242.0,good deal
28,219000.0," 6804 S Wabash Ave, Chicago, IL 60637 ",4.0,4.0,1.9,2169341.0,-1950341.0,good deal
303,155000.0," 3700 W 86th St, Chicago, IL 60652 ",4.0,4.0,1.655,2102896.5,-1947896.5,good deal
343,170000.0," 9047 S Marshfield Ave, Chicago, IL 60620 ",4.0,4.0,1.655,2102896.5,-1932896.5,good deal
76,249000.0," 5200 S Green St, Chicago, IL 60609 ",3.0,4.0,3.03,2150410.5,-1901410.5,good deal
350,107000.0," 3847 W 47th St APT 1F, Chicago, IL 60632 ",3.0,4.0,2.5,2006673.9,-1899673.875,good deal
227,125000.0," 700 W Bittersweet Pl APT 904, Chicago, IL 60613 ",3.0,4.0,2.563,2023759.6,-1898759.625,good deal
323,260000.0," 3524 W 85th St, Chicago, IL 60652 ",4.0,3.0,3.445,2154531.5,-1894531.5,good deal
204,260000.0," 1445 N State Pkwy APT 1705, Chicago, IL 60610 ",4.0,3.0,3.445,2154531.5,-1894531.5,good deal
243,289000.0," 4822 S Dorchester Ave APT 2, Chicago, IL 60615 ",4.0,3.0,3.445,2154531.5,-1865531.5,good deal
54,200000.0," 3950 N Lake Shore Dr APT 911, Chicago, IL 60613 ",5.0,3.0,1.912,2064168.1,-1864168.125,good deal
223,239900.0," 4834 N Kenmore Ave APT GN, Chicago, IL 60640 ",4.0,4.0,1.655,2102896.5,-1862996.5,good deal
283,299900.0," 3432 W Belden Ave #G, Chicago, IL 60647 ",4.0,3.0,3.445,2154531.5,-1854631.5,good deal
177,30000.0," 4800 S Lake Park Ave APT 1304, Chicago, IL 60615 ",4.0,3.0,2.365,1861634.4,-1831634.375,good deal
307,208900.0," 1056 N Leavitt St, Chicago, IL 60622 ",3.0,4.0,2.563,2023759.6,-1814859.625,good deal
501,89000.0," 2544 E 109th St, Chicago, IL 60617 ",5.0,3.0,1.3,1898192.9,-1809192.875,good deal
549,829900.0," 10144 S Hoyne Ave, Chicago, IL 60643 ",4.0,4.0,3.629,2638247.5,-1808347.5,good deal
390,199900.0," 4043 S Drexel Blvd APT 202, Chicago, IL 60653 ",3.0,4.0,2.5,2006673.9,-1806773.875,good deal
84,350000.0," 7609 S Clyde Ave, Chicago, IL 60649 ",4.0,3.0,3.445,2154531.5,-1804531.5,good deal
184,319900.0," 7637 W Ardmore Ave, Chicago, IL 60631 ",4.0,4.0,1.655,2102896.5,-1782996.5,good deal
104,324900.0," 837 E 87th St, Chicago, IL 60619 ",4.0,4.0,1.655,2102896.5,-1777996.5,good deal
57,259000.0," 4214 N Mobile Ave, Chicago, IL 60634 ",6.0,2.0,2.2,2033847.1,-1774847.125,good deal
124,389900.0," 3758 N Plainfield Ave, Chicago, IL 60634 ",4.0,3.0,3.445,2154531.5,-1764631.5,good deal
144,339900.0," 5063 W Jackson Blvd, Chicago, IL 60644 ",4.0,4.0,1.655,2102896.5,-1762996.5,good deal
381,20000.0," 4850 S Lake Park Ave #2307B, Chicago, IL 60615 ",5.0,2.0,2.472,1782225.9,-1762225.875,good deal
14,309900.0," 4633 W Erie St, Chicago, IL 60644 ",5.0,3.0,1.912,2064168.1,-1754268.125,good deal
270,259900.0," 1371 E 48th St #1W, Chicago, IL 60615 ",3.0,4.0,2.5,2006673.9,-1746773.875,good deal
137,125000.0," 8059 S Kenwood Ave, Chicago, IL 60619 ",4.0,3.0,2.365,1861634.4,-1736634.375,good deal
412,189900.0," 1756 N Kedzie Ave APT E, Chicago, IL 60647 ",4.0,3.0,2.6,1925366.6,-1735466.625,good deal
267,288800.0," 4427 N Merrimac Ave, Chicago, IL 60630 ",3.0,4.0,2.563,2023759.6,-1734959.625,good deal
